batch,article_id,paragraph_id,level,list,has_preview,IA_ID,IA_LABEL
1,6,4,Adv,4,1,47,hunter-gatherer
1,6,4,Adv,6,0,47,hunter-gatherer
1,6,4,Adv,6,1,47,hunter-gatherer
1,6,4,Adv,8,0,47,hunter-gatherer
1,6,4,Adv,8,1,47,hunter-gatherer
1,6,4,Adv,10,0,47,hunter-gatherer
1,6,4,Adv,10,1,47,hunter-gatherer
1,6,4,Adv,12,0,47,hunter-gatherer
1,6,4,Adv,12,1,47,hunter-gatherer
1,6,4,Adv,14,0,47,hunter-gatherer
1,6,4,Adv,14,1,47,hunter-gatherer
1,6,4,Adv,16,0,47,hunter-gatherer
1,6,4,Adv,16,1,47,hunter-gatherer
1,6,4,Adv,18,0,47,hunter-gatherer
1,6,4,Adv,18,1,47,hunter-gatherer
1,6,4,Adv,20,0,47,hunter-gatherer
1,6,4,Adv,20,1,47,hunter-gatherer
1,6,4,Adv,22,0,47,hunter-gatherer
1,6,4,Adv,22,1,47,hunter-gatherer
1,6,4,Adv,24,0,47,hunter-gatherer
1,6,4,Adv,24,1,47,hunter-gatherer
1,6,4,Adv,26,0,47,hunter-gatherer
1,6,4,Adv,26,1,47,hunter-gatherer
1,6,4,Adv,28,0,47,hunter-gatherer
1,6,4,Adv,28,1,47,hunter-gatherer
1,6,4,Adv,30,0,47,hunter-gatherer
1,6,4,Adv,30,1,47,hunter-gatherer
1,6,4,Adv,32,0,47,hunter-gatherer
1,6,4,Adv,32,1,47,hunter-gatherer
1,6,4,Adv,34,0,47,hunter-gatherer
1,6,4,Adv,34,1,47,hunter-gatherer
1,6,4,Adv,36,0,47,hunter-gatherer
1,6,4,Adv,36,1,47,hunter-gatherer
1,6,4,Adv,38,0,47,hunter-gatherer
1,6,4,Adv,38,1,47,hunter-gatherer
1,6,4,Adv,40,0,47,hunter-gatherer
1,6,4,Adv,40,1,47,hunter-gatherer
1,6,4,Adv,42,0,47,hunter-gatherer
1,6,4,Adv,42,1,47,hunter-gatherer
1,6,4,Adv,44,0,47,hunter-gatherer
1,6,4,Adv,44,1,47,hunter-gatherer
1,6,4,Adv,46,0,47,hunter-gatherer
1,6,4,Adv,46,1,47,hunter-gatherer
1,6,4,Adv,48,0,47,hunter-gatherer
1,6,4,Adv,48,1,47,hunter-gatherer
1,6,4,Adv,50,0,47,hunter-gatherer
1,6,4,Adv,50,1,47,hunter-gatherer
1,6,4,Adv,52,0,47,hunter-gatherer
1,6,4,Adv,52,1,47,hunter-gatherer
1,6,4,Adv,54,0,47,hunter-gatherer
1,6,4,Adv,54,1,47,hunter-gatherer
1,6,4,Adv,56,0,47,hunter-gatherer
1,6,4,Adv,56,1,47,hunter-gatherer
1,6,4,Adv,58,0,47,hunter-gatherer
1,6,4,Adv,58,1,47,hunter-gatherer
1,6,4,Adv,60,0,47,hunter-gatherer
1,6,4,Adv,60,1,47,hunter-gatherer
1,8,3,Ele,2,0,71,top-level
1,8,3,Ele,2,1,71,top-level
1,8,3,Ele,4,0,71,top-level
1,8,3,Ele,4,1,71,top-level
1,8,3,Ele,6,0,71,top-level
1,8,3,Ele,6,1,71,top-level
1,8,3,Ele,8,0,71,top-level
1,8,3,Ele,8,1,71,top-level
1,8,3,Ele,10,0,71,top-level
1,8,3,Ele,10,1,71,top-level
1,8,3,Ele,12,0,71,top-level
1,8,3,Ele,12,1,71,top-level
1,8,3,Ele,14,0,71,top-level
1,8,3,Ele,14,1,71,top-level
1,8,3,Ele,16,0,71,top-level
1,8,3,Ele,16,1,71,top-level
1,8,3,Ele,18,0,71,top-level
1,8,3,Ele,18,1,71,top-level
1,8,3,Ele,20,0,71,top-level
1,8,3,Ele,20,1,71,top-level
1,8,3,Ele,22,0,71,top-level
1,8,3,Ele,22,1,71,top-level
1,8,3,Ele,24,0,71,top-level
1,8,3,Ele,24,1,71,top-level
1,8,3,Ele,26,0,71,top-level
1,8,3,Ele,26,1,71,top-level
1,8,3,Ele,28,1,71,top-level
1,8,3,Ele,30,0,71,top-level
1,8,3,Ele,30,1,71,top-level
1,8,3,Ele,32,1,71,top-level
1,8,3,Ele,34,0,71,top-level
1,8,3,Ele,34,1,71,top-level
1,8,3,Ele,36,0,71,top-level
1,8,3,Ele,38,0,71,top-level
1,8,3,Ele,38,1,71,top-level
1,8,3,Ele,40,0,71,top-level
1,8,3,Ele,40,1,71,top-level
1,8,3,Ele,42,0,71,top-level
1,8,3,Ele,44,0,71,top-level
1,8,3,Ele,44,1,71,top-level
1,8,3,Ele,46,0,71,top-level
1,8,3,Ele,46,1,71,top-level
1,8,3,Ele,48,0,71,top-level
1,8,3,Ele,48,1,71,top-level
1,8,3,Ele,50,0,71,top-level
1,8,3,Ele,50,1,71,top-level
1,8,3,Ele,52,0,71,top-level
1,8,3,Ele,52,1,71,top-level
1,8,3,Ele,54,0,71,top-level
1,8,3,Ele,54,1,71,top-level
1,8,3,Ele,56,0,71,top-level
1,8,3,Ele,58,0,71,top-level
1,8,3,Ele,58,1,71,top-level
1,8,3,Ele,60,0,71,top-level
1,8,3,Ele,60,1,71,top-level
1,9,2,Ele,28,0,17,6.30am;
1,9,2,Ele,28,0,52,10-year-olds
1,9,2,Ele,32,0,17,6.30am;
1,9,2,Ele,32,0,52,10-year-olds
1,9,2,Ele,36,1,17,6.30am;
1,9,2,Ele,36,1,52,10-year-olds
1,9,2,Ele,42,1,17,6.30am;
1,9,2,Ele,42,1,52,10-year-olds
1,9,2,Ele,56,1,17,6.30am;
1,9,2,Ele,56,1,52,10-year-olds
1,10,1,Adv,1,0,35,credit-card
1,10,1,Adv,1,1,35,credit-card
1,10,1,Adv,3,0,35,credit-card
1,10,1,Adv,3,1,35,credit-card
1,10,1,Adv,5,0,35,credit-card
1,10,1,Adv,5,1,35,credit-card
1,10,1,Adv,7,0,35,credit-card
1,10,1,Adv,7,1,35,credit-card
1,10,1,Adv,9,1,35,credit-card
1,10,1,Adv,11,0,35,credit-card
1,10,1,Adv,11,1,35,credit-card
1,10,1,Adv,13,0,35,credit-card
1,10,1,Adv,13,1,35,credit-card
1,10,1,Adv,15,0,35,credit-card
1,10,1,Adv,15,1,35,credit-card
1,10,1,Adv,17,0,35,credit-card
1,10,1,Adv,17,1,35,credit-card
1,10,1,Adv,19,0,35,credit-card
1,10,1,Adv,19,1,35,credit-card
1,10,1,Adv,21,0,35,credit-card
1,10,1,Adv,21,1,35,credit-card
1,10,1,Adv,23,0,35,credit-card
1,10,1,Adv,23,1,35,credit-card
1,10,1,Adv,25,0,35,credit-card
1,10,1,Adv,25,1,35,credit-card
1,10,1,Adv,27,0,35,credit-card
1,10,1,Adv,27,1,35,credit-card
1,10,1,Adv,29,0,35,credit-card
1,10,1,Adv,29,1,35,credit-card
1,10,1,Adv,31,0,35,credit-card
1,10,1,Adv,31,1,35,credit-card
1,10,1,Adv,33,0,35,credit-card
1,10,1,Adv,33,1,35,credit-card
1,10,1,Adv,35,0,35,credit-card
1,10,1,Adv,35,1,35,credit-card
1,10,1,Adv,37,0,35,credit-card
1,10,1,Adv,37,1,35,credit-card
1,10,1,Adv,39,0,35,credit-card
1,10,1,Adv,39,1,35,credit-card
1,10,1,Adv,41,0,35,credit-card
1,10,1,Adv,41,1,35,credit-card
1,10,1,Adv,43,0,35,credit-card
1,10,1,Adv,43,1,35,credit-card
1,10,1,Adv,45,0,35,credit-card
1,10,1,Adv,45,1,35,credit-card
1,10,1,Adv,47,0,35,credit-card
1,10,1,Adv,47,1,35,credit-card
1,10,1,Adv,49,0,35,credit-card
1,10,1,Adv,49,1,35,credit-card
1,10,1,Adv,51,0,35,credit-card
1,10,1,Adv,51,1,35,credit-card
1,10,1,Adv,53,0,35,credit-card
1,10,1,Adv,53,1,35,credit-card
1,10,1,Adv,55,0,35,credit-card
1,10,1,Adv,55,1,35,credit-card
1,10,1,Adv,57,0,35,credit-card
1,10,1,Adv,57,1,35,credit-card
1,10,1,Adv,59,0,35,credit-card
1,10,1,Adv,59,1,35,credit-card
2,1,5,Adv,17,1,64,51-year-old
2,1,5,Adv,49,0,64,51-year-old
2,1,5,Adv,49,1,64,51-year-old
2,1,5,Adv,51,0,64,51-year-old
2,1,5,Adv,51,1,64,51-year-old
2,1,5,Adv,53,0,64,51-year-old
2,1,5,Adv,53,1,64,51-year-old
2,1,5,Adv,55,1,64,51-year-old
2,1,5,Adv,57,0,64,51-year-old
2,1,5,Adv,57,1,64,51-year-old
2,1,5,Adv,59,0,64,51-year-old
2,1,5,Adv,59,1,64,51-year-old
2,6,2,Adv,2,0,43,100sq-meter
2,6,2,Adv,2,1,43,100sq-meter
2,6,2,Adv,4,0,43,100sq-meter
2,6,2,Adv,4,1,43,100sq-meter
2,6,2,Adv,6,0,43,100sq-meter
2,6,2,Adv,6,1,43,100sq-meter
2,6,2,Adv,8,0,43,100sq-meter
2,6,2,Adv,8,1,43,100sq-meter
2,6,2,Adv,10,0,43,100sq-meter
2,6,2,Adv,12,0,43,100sq-meter
2,6,2,Adv,12,1,43,100sq-meter
2,6,2,Adv,14,0,43,100sq-meter
2,6,2,Adv,14,1,43,100sq-meter
2,6,2,Adv,16,0,43,100sq-meter
2,6,2,Adv,16,1,43,100sq-meter
2,6,2,Adv,18,0,43,100sq-meter
2,6,2,Adv,18,1,43,100sq-meter
2,6,2,Adv,20,0,43,100sq-meter
2,6,2,Adv,20,1,43,100sq-meter
2,6,2,Adv,22,0,43,100sq-meter
2,6,2,Adv,22,1,43,100sq-meter
2,6,2,Adv,24,0,43,100sq-meter
2,6,2,Adv,24,1,43,100sq-meter
2,6,2,Adv,26,0,43,100sq-meter
2,6,2,Adv,26,1,43,100sq-meter
2,6,2,Adv,28,0,43,100sq-meter
2,6,2,Adv,28,1,43,100sq-meter
2,6,2,Adv,30,0,43,100sq-meter
2,6,2,Adv,30,1,43,100sq-meter
2,6,2,Adv,32,0,43,100sq-meter
2,6,2,Adv,32,1,43,100sq-meter
2,6,2,Adv,34,0,43,100sq-meter
2,6,2,Adv,36,0,43,100sq-meter
2,6,2,Adv,36,1,43,100sq-meter
2,6,2,Adv,38,0,43,100sq-meter
2,6,2,Adv,38,1,43,100sq-meter
2,6,2,Adv,40,0,43,100sq-meter
2,6,2,Adv,40,1,43,100sq-meter
2,6,2,Adv,42,0,43,100sq-meter
2,6,2,Adv,42,1,43,100sq-meter
2,6,2,Adv,44,0,43,100sq-meter
2,6,2,Adv,44,1,43,100sq-meter
2,6,2,Adv,46,0,43,100sq-meter
2,6,2,Adv,46,1,43,100sq-meter
2,6,2,Adv,48,0,43,100sq-meter
2,6,2,Adv,48,1,43,100sq-meter
2,8,2,Ele,2,0,47,honey-flavored
2,8,2,Ele,2,1,47,honey-flavored
2,8,2,Ele,4,0,47,honey-flavored
2,8,2,Ele,4,1,47,honey-flavored
2,8,2,Ele,6,0,47,honey-flavored
2,8,2,Ele,6,1,47,honey-flavored
2,8,2,Ele,8,0,47,honey-flavored
2,8,2,Ele,8,1,47,honey-flavored
2,8,2,Ele,10,0,47,honey-flavored
2,8,2,Ele,12,0,47,honey-flavored
2,8,2,Ele,12,1,47,honey-flavored
2,8,2,Ele,14,0,47,honey-flavored
2,8,2,Ele,14,1,47,honey-flavored
2,8,2,Ele,16,0,47,honey-flavored
2,8,2,Ele,16,1,47,honey-flavored
2,8,2,Ele,18,0,47,honey-flavored
2,8,2,Ele,18,1,47,honey-flavored
2,8,2,Ele,20,0,47,honey-flavored
2,8,2,Ele,20,1,47,honey-flavored
2,8,2,Ele,22,0,47,honey-flavored
2,8,2,Ele,22,1,47,honey-flavored
2,8,2,Ele,24,0,47,honey-flavored
2,8,2,Ele,24,1,47,honey-flavored
2,8,2,Ele,26,0,47,honey-flavored
2,8,2,Ele,26,1,47,honey-flavored
2,8,2,Ele,28,0,47,honey-flavored
2,8,2,Ele,28,1,47,honey-flavored
2,8,2,Ele,30,0,47,honey-flavored
2,8,2,Ele,30,1,47,honey-flavored
2,8,2,Ele,32,0,47,honey-flavored
2,8,2,Ele,32,1,47,honey-flavored
2,8,2,Ele,34,0,47,honey-flavored
2,8,2,Ele,36,0,47,honey-flavored
2,8,2,Ele,36,1,47,honey-flavored
2,8,2,Ele,38,0,47,honey-flavored
2,8,2,Ele,38,1,47,honey-flavored
2,8,2,Ele,40,0,47,honey-flavored
2,8,2,Ele,40,1,47,honey-flavored
2,8,2,Ele,42,0,47,honey-flavored
2,8,2,Ele,42,1,47,honey-flavored
2,8,2,Ele,44,0,47,honey-flavored
2,8,2,Ele,44,1,47,honey-flavored
2,8,2,Ele,46,0,47,honey-flavored
2,8,2,Ele,46,1,47,honey-flavored
2,8,2,Ele,48,0,47,honey-flavored
2,8,2,Ele,48,1,47,honey-flavored
2,8,6,Adv,1,0,16,film-makers.
2,8,6,Adv,1,0,32,post-genocide
2,8,6,Adv,1,0,95,film-editing
2,8,6,Adv,1,1,16,film-makers.
2,8,6,Adv,1,1,32,post-genocide
2,8,6,Adv,1,1,95,film-editing
2,8,6,Adv,3,0,16,film-makers.
2,8,6,Adv,3,0,32,post-genocide
2,8,6,Adv,3,0,95,film-editing
2,8,6,Adv,3,1,16,film-makers.
2,8,6,Adv,3,1,32,post-genocide
2,8,6,Adv,3,1,95,film-editing
2,8,6,Adv,5,0,16,film-makers.
2,8,6,Adv,5,0,32,post-genocide
2,8,6,Adv,5,0,95,film-editing
2,8,6,Adv,5,1,16,film-makers.
2,8,6,Adv,5,1,32,post-genocide
2,8,6,Adv,5,1,95,film-editing
2,8,6,Adv,7,0,16,film-makers.
2,8,6,Adv,7,0,32,post-genocide
2,8,6,Adv,7,0,95,film-editing
2,8,6,Adv,7,1,16,film-makers.
2,8,6,Adv,7,1,32,post-genocide
2,8,6,Adv,7,1,95,film-editing
2,8,6,Adv,9,0,16,film-makers.
2,8,6,Adv,9,0,32,post-genocide
2,8,6,Adv,9,0,95,film-editing
2,8,6,Adv,9,1,16,film-makers.
2,8,6,Adv,9,1,32,post-genocide
2,8,6,Adv,9,1,95,film-editing
2,8,6,Adv,11,0,16,film-makers.
2,8,6,Adv,11,0,32,post-genocide
2,8,6,Adv,11,0,95,film-editing
2,8,6,Adv,11,1,16,film-makers.
2,8,6,Adv,11,1,32,post-genocide
2,8,6,Adv,11,1,95,film-editing
2,8,6,Adv,13,0,16,film-makers.
2,8,6,Adv,13,0,32,post-genocide
2,8,6,Adv,13,0,95,film-editing
2,8,6,Adv,13,1,16,film-makers.
2,8,6,Adv,13,1,32,post-genocide
2,8,6,Adv,13,1,95,film-editing
2,8,6,Adv,15,0,16,film-makers.
2,8,6,Adv,15,0,32,post-genocide
2,8,6,Adv,15,0,95,film-editing
2,8,6,Adv,15,1,16,film-makers.
2,8,6,Adv,15,1,32,post-genocide
2,8,6,Adv,15,1,95,film-editing
2,8,6,Adv,17,0,16,film-makers.
2,8,6,Adv,17,0,32,post-genocide
2,8,6,Adv,17,0,95,film-editing
2,8,6,Adv,17,1,16,film-makers.
2,8,6,Adv,17,1,32,post-genocide
2,8,6,Adv,17,1,95,film-editing
2,8,6,Adv,19,0,16,film-makers.
2,8,6,Adv,19,0,32,post-genocide
2,8,6,Adv,19,0,95,film-editing
2,8,6,Adv,19,1,16,film-makers.
2,8,6,Adv,19,1,32,post-genocide
2,8,6,Adv,19,1,95,film-editing
2,8,6,Adv,21,0,16,film-makers.
2,8,6,Adv,21,0,32,post-genocide
2,8,6,Adv,21,0,95,film-editing
2,8,6,Adv,21,1,16,film-makers.
2,8,6,Adv,21,1,32,post-genocide
2,8,6,Adv,21,1,95,film-editing
2,8,6,Adv,23,0,16,film-makers.
2,8,6,Adv,23,0,32,post-genocide
2,8,6,Adv,23,0,95,film-editing
2,8,6,Adv,23,1,16,film-makers.
2,8,6,Adv,23,1,32,post-genocide
2,8,6,Adv,23,1,95,film-editing
2,8,6,Adv,25,0,16,film-makers.
2,8,6,Adv,25,0,32,post-genocide
2,8,6,Adv,25,0,95,film-editing
2,8,6,Adv,25,1,16,film-makers.
2,8,6,Adv,25,1,32,post-genocide
2,8,6,Adv,25,1,95,film-editing
2,8,6,Adv,27,0,16,film-makers.
2,8,6,Adv,27,0,32,post-genocide
2,8,6,Adv,27,0,95,film-editing
2,8,6,Adv,27,1,16,film-makers.
2,8,6,Adv,27,1,32,post-genocide
2,8,6,Adv,27,1,95,film-editing
2,8,6,Adv,29,0,16,film-makers.
2,8,6,Adv,29,0,32,post-genocide
2,8,6,Adv,29,0,95,film-editing
2,8,6,Adv,29,1,16,film-makers.
2,8,6,Adv,29,1,32,post-genocide
2,8,6,Adv,29,1,95,film-editing
2,8,6,Adv,31,0,16,film-makers.
2,8,6,Adv,31,0,32,post-genocide
2,8,6,Adv,31,0,95,film-editing
2,8,6,Adv,31,1,16,film-makers.
2,8,6,Adv,31,1,32,post-genocide
2,8,6,Adv,31,1,95,film-editing
2,8,6,Adv,33,0,16,film-makers.
2,8,6,Adv,33,0,32,post-genocide
2,8,6,Adv,33,0,95,film-editing
2,8,6,Adv,33,1,16,film-makers.
2,8,6,Adv,33,1,32,post-genocide
2,8,6,Adv,33,1,95,film-editing
2,8,6,Adv,35,0,16,film-makers.
2,8,6,Adv,35,0,32,post-genocide
2,8,6,Adv,35,0,95,film-editing
2,8,6,Adv,35,1,16,film-makers.
2,8,6,Adv,35,1,32,post-genocide
2,8,6,Adv,35,1,95,film-editing
2,8,6,Adv,37,0,16,film-makers.
2,8,6,Adv,37,0,32,post-genocide
2,8,6,Adv,37,0,95,film-editing
2,8,6,Adv,37,1,16,film-makers.
2,8,6,Adv,37,1,32,post-genocide
2,8,6,Adv,37,1,95,film-editing
2,8,6,Adv,39,0,16,film-makers.
2,8,6,Adv,39,0,32,post-genocide
2,8,6,Adv,39,0,95,film-editing
2,8,6,Adv,39,1,16,film-makers.
2,8,6,Adv,39,1,32,post-genocide
2,8,6,Adv,39,1,95,film-editing
2,8,6,Adv,41,0,16,film-makers.
2,8,6,Adv,41,0,32,post-genocide
2,8,6,Adv,41,0,95,film-editing
2,8,6,Adv,41,1,16,film-makers.
2,8,6,Adv,41,1,32,post-genocide
2,8,6,Adv,41,1,95,film-editing
2,8,6,Adv,43,0,16,film-makers.
2,8,6,Adv,43,0,32,post-genocide
2,8,6,Adv,43,0,95,film-editing
2,8,6,Adv,43,1,16,film-makers.
2,8,6,Adv,43,1,32,post-genocide
2,8,6,Adv,43,1,95,film-editing
2,8,6,Adv,45,0,16,film-makers.
2,8,6,Adv,45,0,32,post-genocide
2,8,6,Adv,45,0,95,film-editing
2,8,6,Adv,45,1,16,film-makers.
2,8,6,Adv,45,1,32,post-genocide
2,8,6,Adv,45,1,95,film-editing
2,8,6,Adv,47,0,16,film-makers.
2,8,6,Adv,47,0,32,post-genocide
2,8,6,Adv,47,0,95,film-editing
2,8,6,Adv,47,1,16,film-makers.
2,8,6,Adv,47,1,32,post-genocide
2,8,6,Adv,47,1,95,film-editing
2,8,6,Adv,49,0,16,film-makers.
2,8,6,Adv,49,0,32,post-genocide
2,8,6,Adv,49,0,95,film-editing
2,8,6,Adv,49,1,16,film-makers.
2,8,6,Adv,49,1,32,post-genocide
2,8,6,Adv,49,1,95,film-editing
2,8,6,Adv,51,0,16,film-makers.
2,8,6,Adv,51,0,32,post-genocide
2,8,6,Adv,51,0,95,film-editing
2,8,6,Adv,51,1,16,film-makers.
2,8,6,Adv,51,1,32,post-genocide
2,8,6,Adv,51,1,95,film-editing
2,8,6,Adv,53,0,16,film-makers.
2,8,6,Adv,53,0,32,post-genocide
2,8,6,Adv,53,0,95,film-editing
2,8,6,Adv,53,1,16,film-makers.
2,8,6,Adv,53,1,32,post-genocide
2,8,6,Adv,53,1,95,film-editing
2,8,6,Adv,55,0,16,film-makers.
2,8,6,Adv,55,0,32,post-genocide
2,8,6,Adv,55,0,95,film-editing
2,8,6,Adv,55,1,16,film-makers.
2,8,6,Adv,55,1,32,post-genocide
2,8,6,Adv,55,1,95,film-editing
2,8,6,Adv,57,0,16,film-makers.
2,8,6,Adv,57,0,32,post-genocide
2,8,6,Adv,57,0,95,film-editing
2,8,6,Adv,57,1,16,film-makers.
2,8,6,Adv,57,1,32,post-genocide
2,8,6,Adv,57,1,95,film-editing
2,8,6,Adv,59,0,16,film-makers.
2,8,6,Adv,59,0,32,post-genocide
2,8,6,Adv,59,0,95,film-editing
2,8,6,Adv,59,1,16,film-makers.
2,8,6,Adv,59,1,32,post-genocide
2,8,6,Adv,59,1,95,film-editing
2,10,2,Adv,1,0,17,deep-fried
2,10,2,Adv,1,1,17,deep-fried
2,10,2,Adv,3,0,17,deep-fried
2,10,2,Adv,3,1,17,deep-fried
2,10,2,Adv,5,0,17,deep-fried
2,10,2,Adv,5,1,17,deep-fried
2,10,2,Adv,7,0,17,deep-fried
2,10,2,Adv,7,1,17,deep-fried
2,10,2,Adv,9,0,17,deep-fried
2,10,2,Adv,9,1,17,deep-fried
2,10,2,Adv,11,0,17,deep-fried
2,10,2,Adv,11,1,17,deep-fried
2,10,2,Adv,13,0,17,deep-fried
2,10,2,Adv,13,1,17,deep-fried
2,10,2,Adv,15,0,17,deep-fried
2,10,2,Adv,15,1,17,deep-fried
2,10,2,Adv,17,0,17,deep-fried
2,10,2,Adv,19,0,17,deep-fried
2,10,2,Adv,19,1,17,deep-fried
2,10,2,Adv,21,0,17,deep-fried
2,10,2,Adv,21,1,17,deep-fried
2,10,2,Adv,23,0,17,deep-fried
2,10,2,Adv,23,1,17,deep-fried
2,10,2,Adv,25,0,17,deep-fried
2,10,2,Adv,25,1,17,deep-fried
2,10,2,Adv,27,0,17,deep-fried
2,10,2,Adv,27,1,17,deep-fried
2,10,2,Adv,29,0,17,deep-fried
2,10,2,Adv,29,1,17,deep-fried
2,10,2,Adv,31,0,17,deep-fried
2,10,2,Adv,31,1,17,deep-fried
2,10,2,Adv,33,0,17,deep-fried
2,10,2,Adv,33,1,17,deep-fried
2,10,2,Adv,35,0,17,deep-fried
2,10,2,Adv,35,1,17,deep-fried
2,10,2,Adv,37,0,17,deep-fried
2,10,2,Adv,37,1,17,deep-fried
2,10,2,Adv,39,0,17,deep-fried
2,10,2,Adv,39,1,17,deep-fried
2,10,2,Adv,41,0,17,deep-fried
2,10,2,Adv,41,1,17,deep-fried
2,10,2,Adv,43,0,17,deep-fried
2,10,2,Adv,43,1,17,deep-fried
2,10,2,Adv,45,0,17,deep-fried
2,10,2,Adv,45,1,17,deep-fried
2,10,2,Adv,47,0,17,deep-fried
2,10,2,Adv,47,1,17,deep-fried
2,10,2,Adv,55,0,17,deep-fried
3,1,3,Adv,29,0,109,el-Haite
3,1,3,Adv,35,0,109,el-Haite
3,1,3,Adv,35,1,114,el-Haite
3,1,3,Adv,37,0,109,el-Haite
3,1,3,Adv,37,1,119,el-Haite
3,1,3,Adv,39,0,109,el-Haite
3,1,3,Adv,41,0,109,el-Haite
3,1,3,Adv,41,1,114,el-Haite
3,1,3,Adv,43,0,109,el-Haite
3,1,3,Adv,43,1,119,el-Haite
3,1,3,Adv,45,0,109,el-Haite
3,1,3,Adv,45,1,114,el-Haite
3,1,3,Adv,47,0,109,el-Haite
3,1,3,Adv,47,1,114,el-Haite
3,1,3,Adv,49,0,109,el-Haite
3,1,3,Adv,51,0,109,el-Haite
3,1,3,Adv,51,1,114,el-Haite
3,1,3,Adv,53,0,109,el-Haite
3,1,3,Adv,53,1,114,el-Haite
3,1,3,Adv,55,0,109,el-Haite
3,1,3,Adv,55,1,119,el-Haite
3,1,3,Adv,57,0,109,el-Haite
3,1,3,Adv,57,1,114,el-Haite
3,3,4,Adv,29,0,92,100-seat
3,3,4,Adv,35,0,92,100-seat
3,3,4,Adv,35,1,96,100-seat
3,3,4,Adv,37,0,92,100-seat
3,3,4,Adv,37,1,99,100-seat
3,3,4,Adv,39,0,92,100-seat
3,3,4,Adv,41,0,92,100-seat
3,3,4,Adv,41,1,96,100-seat
3,3,4,Adv,43,0,92,100-seat
3,3,4,Adv,43,1,99,100-seat
3,3,4,Adv,45,0,92,100-seat
3,3,4,Adv,45,1,100,100-seat
3,3,4,Adv,47,0,92,100-seat
3,3,4,Adv,47,1,96,100-seat
3,3,4,Adv,49,0,92,100-seat
3,3,4,Adv,51,0,92,100-seat
3,3,4,Adv,51,1,100,100-seat
3,3,4,Adv,53,0,92,100-seat
3,3,4,Adv,53,1,96,100-seat
3,3,4,Adv,55,0,92,100-seat
3,3,4,Adv,55,1,99,100-seat
3,3,4,Adv,57,0,92,100-seat
3,3,4,Adv,57,1,100,100-seat
3,6,3,Adv,1,0,65,e-bicycles
3,6,3,Adv,1,1,65,e-bicycles
3,6,3,Adv,3,0,65,e-bicycles
3,6,3,Adv,3,1,65,e-bicycles
3,6,3,Adv,5,0,65,e-bicycles
3,6,3,Adv,5,1,65,e-bicycles
3,6,3,Adv,7,0,65,e-bicycles
3,6,3,Adv,7,1,65,e-bicycles
3,6,3,Adv,9,0,65,e-bicycles
3,6,3,Adv,9,1,65,e-bicycles
3,6,3,Adv,11,0,65,e-bicycles
3,6,3,Adv,11,1,65,e-bicycles
3,6,3,Adv,13,0,65,e-bicycles
3,6,3,Adv,13,1,65,e-bicycles
