batch,article_id,paragraph_id,level,list,has_preview,IA_ID,IA_LABEL
1,1,5,Adv,1,0,32,south-east
1,1,5,Adv,1,1,32,south-east
1,1,5,Adv,3,0,32,south-east
1,1,5,Adv,3,1,32,south-east
1,1,5,Adv,5,0,32,south-east
1,1,5,Adv,5,1,32,south-east
1,1,5,Adv,7,0,32,south-east
1,1,5,Adv,7,1,32,south-east
1,1,5,Adv,9,0,32,south-east
1,1,5,Adv,9,1,32,south-east
1,1,5,Adv,11,0,32,south-east
1,1,5,Adv,11,1,32,south-east
1,1,5,Adv,13,0,32,south-east
1,1,5,Adv,13,1,32,south-east
1,1,5,Adv,15,0,32,south-east
1,1,5,Adv,15,1,32,south-east
1,1,5,Adv,17,0,32,south-east
1,1,5,Adv,17,1,32,south-east
1,1,5,Adv,19,0,32,south-east
1,1,5,Adv,19,1,32,south-east
1,1,5,Adv,21,0,32,south-east
1,1,5,Adv,21,1,32,south-east
1,1,5,Adv,23,0,32,south-east
1,1,5,Adv,23,1,32,south-east
1,1,5,Adv,25,0,32,south-east
1,1,5,Adv,25,1,32,south-east
1,1,5,Adv,27,0,32,south-east
1,1,5,Adv,27,1,32,south-east
1,1,5,Adv,29,0,32,south-east
1,1,5,Adv,29,1,32,south-east
1,1,5,Adv,31,0,32,south-east
1,1,5,Adv,31,1,32,south-east
1,1,5,Adv,33,0,32,south-east
1,1,5,Adv,33,1,32,south-east
1,1,5,Adv,35,0,32,south-east
1,1,5,Adv,35,1,32,south-east
1,1,5,Adv,37,0,32,south-east
1,1,5,Adv,37,1,32,south-east
1,1,5,Adv,39,0,32,south-east
1,1,5,Adv,39,1,32,south-east
1,1,5,Adv,41,0,32,south-east
1,1,5,Adv,41,1,32,south-east
1,1,5,Adv,43,0,32,south-east
1,1,5,Adv,43,1,32,south-east
1,1,5,Adv,45,0,32,south-east
1,1,5,Adv,45,1,32,south-east
1,1,5,Adv,47,0,32,south-east
1,1,5,Adv,47,1,32,south-east
1,1,5,Adv,49,0,32,south-east
1,1,5,Adv,49,1,32,south-east
1,1,5,Adv,51,0,32,south-east
1,1,5,Adv,51,1,32,south-east
1,1,5,Adv,53,0,32,south-east
1,1,5,Adv,53,1,32,south-east
1,1,5,Adv,55,0,32,south-east
1,1,5,Adv,55,1,32,south-east
1,1,5,Adv,57,0,32,south-east
1,1,5,Adv,57,1,32,south-east
1,1,5,Adv,59,0,32,south-east
1,1,5,Adv,59,1,32,south-east
1,6,4,Adv,2,0,47,hunter-gatherer
1,6,4,Adv,2,1,47,hunter-gatherer
1,6,4,Adv,4,0,47,hunter-gatherer
